resource_id,author,year,title,resource_type,resource_ISBN,resource_journal,resource_volume_pages,resource_notes
9,"Veron JEN, Pichon M",1980,Scleractinia of Eastern Australia: Part III ,monograph,ISBN 0 7081 0768 0,Australian institute of marine science monograph series ,Volume 4,""
10,"Veron JEN, Stafford-Smith M",2002,Corals of the World,book,"",Australian Institute of Marine Science and CCR Qld Pty Ltd.,"","Includes veron 2000, corals of the world CD ROM"
12,"Veron JEN, Pichon M",1976,"Scleractinia of Eastern Australia: Part I, Families Thamnasteriidae, Astrocoenidae, Pocilloporidae ",monograph,ISBN 0 642 02320 4,Australian Institute of Marine Science Monograph Series,Volume 1,""
54,"Glynn PW, Colley SB, Gassman NJ, Black K, Cortes J, Mate JL.",1996,"Reef coral reproduction in the eastern Pacific: Costa Rica, Panama, and Galapagos Islands (Ecuador). 3. Agariciidae (Pavona gigantea and Gardineroseris planulata)",paper,"",Marine Biology,125:579-601,""
64,"Glynn PW, Colley SB, Ting JH, Mate JL, Guzman HM",2000,"Reef coral reproduction, recruitment and recovery in the eastern Pacific:  Costa Rica, Panama and Galapagos Islands (Ecuador)",paper,"",Marine Biology,136: 785- 805,sp recovery Pavona varians Pavona sp.a
203,Harriott VJ,1999,Coral growth in subtropical eastern Australia,paper,10.1007/s003380050195,Coral Reefs,18:281-291,""
205,"Hubbard DK, Scaturo D",1985,"Growth rates of seven species of scleractinian corals from Cane Bay and Salt River, St. Croix, USVI",paper,"",Bulletin of Marine Science,36:325-338,""
206,"Guzman HM, Cortes J",1989,Growth rates of eight species of scleractinian corals in the Eastern Pacific (Costa Rica),paper,"",Bulletin of Marine Science,44:1186-1194,Cannot find DOI
207,Glynn PW,1985,El NiÃ±o-associated disturbance to coral reefs and post disturbance mortality by Acanthaster planci,paper,"",Marine Ecology Progress Series,26:295-300,Cannot find DOI
208,"Knutson DW, Buddemeier RW, Smith SV",1972,Coral chronometers: seasonal growth bands in reef corals,paper,"",Science,177:270-272,Cannot find DOI
210,Baird AH,,Personal observation,pers_obs,"","","",""
213,Baird AH,,Baird guess,guess,"","","",""
214,"Clark S, Edwards AJ",1995,Coral transplantation as an aid to reef rehabilitation: evaluation of a case study in the Maldive Islands,paper,"",Coral Reefs,"14, 201-213",""
215,Huang D,2012,Threatened Reef Corals of the World,paper,doi:10.1371/journal.pone.0034459,PLoS ONE,"7(3), e34459",""
216,"Heyward AJ, Collins JD",1985,Growth and sexual reproduction in the scleractinian coral Montipora digitata (Dana),paper,"",Marine and Freshwater Research,"36, 441-6",""
269,"Suresh VR, Mathew KJ",1995,"Growth of staghorn coral Acropora aspera (Dana) (Scleractinia: Acropridae) in relation to environmental factors at Kavaratti atoll (Lakshadweep Islands), India",paper,"",Indian Journal of Marine Sciences,"24, 175-176",""
270,Stimson J,1985,The Effect of Shading by the Table Coral Acropora Hyacinthus on Understory Corals,paper,"",Ecology,"66, 40-53",""
273,Babcock RC,1991,Comparative demography of three species of scleractinian corals using age-and size-dependent classifications,paper,"",Ecological Monographs,"61, 225-244",""
274,Marsh LM,1992,"The Occurrence and Growth of Acropora in Extra-tropical Waters off Perth, Western Australia",conference_proceedings,"","Proceedings of the Seventh International Coral Reef Symposium, Guam, 1992","2, 1233-1238",""
275,Highsmith RC,1979,￼￼￼￼￼￼￼￼Coral growth rates and environmental control of density banding,paper,http://dx.doi.org/10.1016/0022-0981(79)90089-3,Journal of Experimental Marine Biology and Ecology,"37, 105-125",""
276,"Buddemeier RW, Maragos JE, Knutson DW",1974,Radiographic studies of reef coral exoskeletons: rates and patterns of coral growth,paper,"",Journal of Experimental Marine Biology and Ecology,"14, 179-200",""
277,"Gomez ED, Alcala AC, Yap HT, Alcala LC, Aline PM",1985,Growth studies of commercially important scleractinians,conference_proceedings,"","Proceedings of the Fifth International Coral Reef Congress, Tahiti",199-204,""
278,Dustan P,1975,Growth and form in the reef-building coral Montastrea annularis,paper,"",Marine Biology,"33, 101-107",""
279,"Graus RR, Mcintyre IG",1982,Variation in growth forms of the reef coral Montastrea annularis (Ellis and Solander): a quantitative evaluation of growth response to light distribution using computer simulation,paper,"",Smithsonian Contributions to Marine Sciences,"12, 441-464",""
280,Willis BL,1985,Phenotypic plasticity versus phenotypic stability in the reef corals Turbinaria mesenterina and Pavona cactus,conference_proceedings,"","Proceedings of the Fifth International Coral Reef Congress, Tahiti",107-112,""
