observation_id,access,enterer,coral,location_name,latitude,longitude,resource_id,measurement_id,trait_name,standard_unit,value,precision,precision_type,precision_upper,replicates
7,1,1,Acanthastrea amakusensis,Global estimate,"","",215,7,Clade Fukami Huang 2012,cat,XX,"","","",""
90543,1,8,Acanthastrea amakusensis,Global estimate,"","",210,95864,Growth form,cat,encrusting,"","","",""
43,1,1,Acanthastrea bowerbanki,Global estimate,"","",215,42,Clade Fukami Huang 2012,cat,XX,"","","",""
94,0,1,Acanthastrea bowerbanki,Global estimate,"","",0,90,Growth form,cat,encrusting,"","","",""
109,1,1,Acanthastrea brevis,Global estimate,"","",215,105,Clade Fukami Huang 2012,cat,XX,"","","",""
155,0,8,Acanthastrea brevis,Global estimate,"","",210,150,Growth form,cat,massive,"","","",""
178,1,1,Acanthastrea echinata,Global estimate,"","",215,173,Clade Fukami Huang 2012,cat,XX,"","","",""
236,0,1,Acanthastrea echinata,Global estimate,"","",0,226,Growth form,cat,encrusting,"","","",""
251,1,1,Acanthastrea faviaformis,Global estimate,"","",215,241,Clade Fukami Huang 2012,cat,XX,"","","",""
298,0,8,Acanthastrea faviaformis,Global estimate,"","",210,286,Growth form,cat,massive,"","","",""
313,1,1,Acanthastrea hemprichii,Global estimate,"","",215,301,Clade Fukami Huang 2012,cat,XX,"","","",""
364,0,8,Acanthastrea hemprichii,Global estimate,"","",210,349,Growth form,cat,massive,"","","",""
382,1,1,Acanthastrea hillae,Global estimate,"","",215,367,Clade Fukami Huang 2012,cat,XVIII,"","","",""
434,0,8,Acanthastrea hillae,Global estimate,"","",210,415,Growth form,cat,massive,"","","",""
449,1,1,Acanthastrea ishigakiensis,Global estimate,"","",215,430,Clade Fukami Huang 2012,cat,XX,"","","",""
495,0,1,Acanthastrea ishigakiensis,Global estimate,"","",0,475,Growth form,cat,massive,"","","",""
518,1,1,Acanthastrea lordhowensis,Global estimate,"","",215,498,Clade Fukami Huang 2012,cat,XX,"","","",""
573,0,8,Acanthastrea lordhowensis,Global estimate,"","",210,549,Growth form,cat,encrusting,"","","",""
588,1,1,Acanthastrea maxima,Global estimate,"","",215,564,Clade Fukami Huang 2012,cat,XX,"","","",""
635,0,1,Acanthastrea maxima,Global estimate,"","",0,610,Growth form,cat,encrusting,"","","",""
650,1,1,Acanthastrea minuta,Global estimate,"","",215,625,Clade Fukami Huang 2012,cat,XX,"","","",""
686,1,1,Acanthastrea regularis,Global estimate,"","",215,659,Clade Fukami Huang 2012,cat,XX,"","","",""
738,0,8,Acanthastrea regularis,Global estimate,"","",210,707,Growth form,cat,encrusting,"","","",""
753,1,1,Acanthastrea rotundoflora,Global estimate,"","",215,722,Clade Fukami Huang 2012,cat,XX,"","","",""
804,0,8,Acanthastrea rotundoflora,Global estimate,"","",210,770,Growth form,cat,massive,"","","",""
819,1,1,Acanthastrea subechinata,Global estimate,"","",215,785,Clade Fukami Huang 2012,cat,XX,"","","",""
865,0,1,Acanthastrea subechinata,Global estimate,"","",0,829,Growth form,cat,encrusting,"","","",""
879,1,1,Acanthophyllia deshayesiana,Global estimate,"","",215,843,Clade Fukami Huang 2012,cat,na,"","","",""
918,1,1,Acropora abrolhosensis,Global estimate,"","",215,881,Clade Fukami Huang 2012,cat,VI,"","","",""
981,0,8,Acropora abrolhosensis,Global estimate,"","",210,940,Growth form,cat,branching,"","","",""
1001,1,1,Acropora abrotanoides,Global estimate,"","",215,960,Clade Fukami Huang 2012,cat,VI,"","","",""
89041,1,14,Acropora abrotanoides,"","","",399,92285,Growth rate,mm yr^-1,127.5,"","","",""
1061,0,8,Acropora abrotanoides,Global estimate,"","",210,1016,Growth form,cat,encrusting_branching,"","","",""
1079,1,1,Acropora aculeus,Global estimate,"","",215,1034,Clade Fukami Huang 2012,cat,VI,"","","",""
90549,0,8,Acropora aculeus,Global estimate,"","",210,95870,Growth form,cat,corymbose,"","","",""
1160,1,1,Acropora acuminata,Global estimate,"","",215,1111,Clade Fukami Huang 2012,cat,VI,"","","",""
1223,0,1,Acropora acuminata,Global estimate,"","",0,1170,Growth form,cat,corymbose,"","","",""
1238,1,1,Acropora akajimensis,Global estimate,"","",215,1185,Clade Fukami Huang 2012,cat,VI,"","","",""
1295,0,8,Acropora akajimensis,Global estimate,"","",210,1240,Growth form,cat,branching,"","","",""
1313,1,1,Acropora anthocercis,Global estimate,"","",215,1258,Clade Fukami Huang 2012,cat,VI,"","","",""
1376,0,8,Acropora anthocercis,Global estimate,"","",210,1317,Growth form,cat,tabular,"","","",""
1395,1,1,Acropora appressa,Global estimate,"","",215,1336,Clade Fukami Huang 2012,cat,VI,"","","",""
1444,0,1,Acropora appressa,Global estimate,"","",0,1385,Growth form,cat,corymbose,"","","",""
1461,1,1,Acropora arabensis,Global estimate,"","",215,1402,Clade Fukami Huang 2012,cat,VI,"","","",""
1514,0,1,Acropora arabensis,Global estimate,"","",0,1453,Growth form,cat,caespitose,"","","",""
1535,1,1,Acropora aspera,Global estimate,"","",215,1474,Clade Fukami Huang 2012,cat,VI,"","","",""
1564,0,1,Acropora aspera,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,1501,Growth rate,mm yr^-1,50,"","","",""
1564,0,1,Acropora aspera,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,1502,Habitat type,cat,lagoon,"","","",""
1564,0,1,Acropora aspera,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,1503,Depth,m,2,"","","",""
1564,0,1,Acropora aspera,"Kavaratti lagoon, Lakshadweep Islands",10.565,72.631,269,1504,Wave exposure,cat,sheltered,"","","",""
88249,1,14,Acropora aspera,"","","",347,91493,Growth rate,mm yr^-1,33.24,"","","",""
88250,1,14,Acropora aspera,"","","",347,91494,Growth rate,mm yr^-1,20.73,"","","",""
88251,1,14,Acropora aspera,"","","",347,91495,Growth rate,mm yr^-1,50.71,"","","",""
88252,1,14,Acropora aspera,"","","",347,91496,Growth rate,mm yr^-1,21.77,"","","",""
